original_id,review_id,rating,body,visited,votedKeywords
32152539,61b2a1dd829b1a00501c7058,,좋아요~~,21.12.5.일,
32152539,61b2c240ef3e3b0050a036e0,,좋아용👍,21.12.5.일,
32152539,61b486372e053b005158695d,,"아기자기하고 편히 놀고, 쉬다가 가기 좋은 곳이네요!! 윌 닌텐도랑 노래방이랑 최신영화랑 티비 등 다 할 수 았어서 지르하지 않게 놀다갑니당~~~❤️",21.12.4.토,
1744843816,5f50c27b55301f0045b2e54b,5.0,"가정집처럼 되어있어서 찾기는 어려웠지만 들어가보니 넘 좋았어요~! 힐링됨!!
사장님 너무 친절하게 사용법과 꿀팁 설명해주셨어요 ㅎㅎ
샴푸바 만들기도 하고싶었는데 못해서 아쉽네요ㅠㅠ",20.8.29.토,
1744843816,5f2146fa4a374f0010c022e8,5.0,실생활에서 쉽게 제로웨이스트에 접근할 수 있어요. 사장님이 친절하세요. 궁금한거 물어보면 잘 알려주시네요.,20.7.29.수,
1744843816,5f50c27b55301f0045b2e54b,5.0,"가정집처럼 되어있어서 찾기는 어려웠지만 들어가보니 넘 좋았어요~! 힐링됨!!
사장님 너무 친절하게 사용법과 꿀팁 설명해주셨어요 ㅎㅎ
샴푸바 만들기도 하고싶었는데 못해서 아쉽네요ㅠㅠ",20.8.29.토,
1744843816,5f2146fa4a374f0010c022e8,5.0,실생활에서 쉽게 제로웨이스트에 접근할 수 있어요. 사장님이 친절하세요. 궁금한거 물어보면 잘 알려주시네요.,20.7.29.수,
17088128,62e35ae8bbad852ab0b239c7,,조랑말도 보고 승마도했어요,7.27.수,
17088128,62e47d45ad2e6ef1d9e304a8,,굿,1.20.목,
17084701,62946a220b617f344df60d7d,,,5.30.월,
17084701,62c7feb0a574ab81f31d0a21,,좋아요,7.8.금,
17084701,62946a220b617f344df60d7d,,,5.30.월,
17084701,62933ff232fcb176dcad2de3,,굿입니다,4.20.수,
13491591,62dbf8da12fefac9ba62efae,,산방산은 사랑입니다 ,7.21.목,
13491591,62ba9745d665279528379c92,,,6.28.화,
13491591,62a6b1131a85e6d7ba4bb10c,,,6.13.월,
13491591,628cf5550509525f391963ca,,,5.25.수,
13491591,6278fa20559455418488d560,,산방굴사가서 기도하고 왔어요~,5.9.월,
13491591,620455f56ce6470046dbe90f,,멋있어요,2.9.수,
13491591,61e59413d6678300508d32ab,,영험하고 절경임.,1.14.금,
13491591,61dd62504bdca100500a60ae,,"개인적으로 산방산은 올라가는 것보다
이렇게 아래서 혹은 멀리서 바라보는 것이
제일 멋진 것 같아요ㅎㅎ

올라가는 것은 11분 정도면 
산방굴사에 도착합니다!

정상은 2031년까지
휴식기로 인해 
못올라간다고 하더라구요ㅠㅜ

산방산 올라가실 계획이시라면
오전에 용머리해안 다녀오시고 후에
산방산 다녀오시면 어떨까 합니다^^
(입장료도 패키지가 조금 더 저렴합니다)",1.8.토,
13491591,61b078e302d5cd0050487e11,,날이 좋아서 좋았읍니다,21.12.7.화,
13491591,617c89a5f500bc00518c79ba,,,21.10.24.일,
13491591,6100343dd5806100500e28b4,5.0,"중문쪽에 갈 일이 있다면 들려보세요 ㅎㅎ
뷰가 좋고 산속 굴 안에 절이 신기해요",21.7.21.수,
13491591,608b88deefbb7b004fb38ff5,5.0,,21.4.30.금,
13491591,6064443815b19d0068c3969b,4.0,놀러갔을때 가볼만한곳,21.3.31.수,
13491591,6049edac14fcdd006427a000,4.0,좋아요,21.3.11.목,
13491591,604352da37b3b8007c2e5016,4.0,"절묘하네요 
금강굴과 비슷",21.3.6.토,
13491591,603b9b3374af1d007529930c,5.0,산방굴사까지 간단하게 올라갔다오기 좋네요~  용머리해안의 멋진 경관도 볼수있어 좋아요😊,21.2.28.일,
